area_associata,Year,frequency_PM10,exposure_PM10,intensity_PM10
POZZO D`ADDA,2015,49,1.719,84.218
POZZUOLO MARTESANA,2015,51,2.009,102.437
PREGNANA MILANESE,2015,51,2.378,121.282
RESCALDINA,2015,51,2.186,111.494
RHO,2015,51,2.507,127.865
ROBECCHETTO CON INDUNO,2015,46,1.861,85.612
ROBECCO SUL NAVIGLIO,2015,49,2.268,111.128
RODANO,2015,51,2.188,111.6
ROSATE,2015,51,2.105,107.367
ROZZANO,2015,51,2.075,105.8
SAN DONATO MILANESE,2015,51,2.055,104.8
SAN GIORGIO SU LEGNANO,2015,51,2.121,108.173
SAN GIULIANO MILANESE,2015,51,2.044,104.261
SAN VITTORE OLONA,2015,51,2.198,112.092
SAN ZENONE AL LAMBRO,2015,51,2.04,104.017
SANTO STEFANO TICINO,2015,49,2.244,109.962
SEDRIANO,2015,51,2.224,113.409
SEGRATE,2015,52,2.106,109.493
SENAGO,2015,51,2.43,123.92
SESTO SAN GIOVANNI,2015,51,2.121,108.173
SETTALA,2015,50,2.11,105.482
SETTIMO MILANESE,2015,51,2.287,116.635
SOLARO,2015,51,2.376,121.158
TREZZANO ROSA,2015,47,1.56,73.339
TREZZANO SUL NAVIGLIO,2015,51,2.138,109.024
TREZZO SULL`ADDA,2015,44,1.424,62.674
TRIBIANO,2015,51,2.048,104.457
TRUCCAZZANO,2015,51,2.031,103.598
TURBIGO,2015,51,1.935,98.709
VANZAGHELLO,2015,51,1.931,98.48
VANZAGO,2015,51,2.345,119.614
VAPRIO D`ADDA,2015,47,1.581,74.31
VERMEZZO CON ZELO,2015,51,2.133,108.764
VERNATE,2015,51,2.092,106.695
VIGNATE,2015,50,2.152,107.624
VILLA CORTESE,2015,51,2.055,104.826
VIMODRONE,2015,51,2.102,107.214
VITTUONE,2015,51,2.211,112.774
VIZZOLO PREDABISSI,2015,51,2.032,103.61
ZIBIDO SAN GIACOMO,2015,51,2.09,106.579
ABBIATEGRASSO,2016,48,1.506,72.29
