age_group,Comune,Sesso,Popolazione,Year
Middle-age,Inzago,Maschi,2719,2011
Middle-age,Lacchiarella,Femmine,2187,2011
Middle-age,Lacchiarella,Maschi,2184,2011
Middle-age,Lainate,Femmine,6737,2011
Middle-age,Lainate,Maschi,6595,2011
Middle-age,Legnano,Femmine,15062,2011
Middle-age,Legnano,Maschi,14628,2011
Middle-age,Liscate,Femmine,1053,2011
Middle-age,Liscate,Maschi,1139,2011
Middle-age,Locate di Triulzi,Femmine,2528,2011
Middle-age,Locate di Triulzi,Maschi,2536,2011
Middle-age,Magenta,Femmine,5763,2011
Middle-age,Magenta,Maschi,5732,2011
Middle-age,Magnago,Femmine,2418,2011
Middle-age,Magnago,Maschi,2445,2011
Middle-age,Marcallo con Casone,Femmine,1565,2011
Middle-age,Marcallo con Casone,Maschi,1611,2011
Middle-age,Masate,Femmine,898,2011
Middle-age,Masate,Maschi,925,2011
Middle-age,Mediglia,Femmine,3224,2011
Middle-age,Mediglia,Maschi,3305,2011
Middle-age,Melegnano,Femmine,4175,2011
Middle-age,Melegnano,Maschi,4066,2011
Middle-age,Melzo,Femmine,4682,2011
Middle-age,Melzo,Maschi,4561,2011
Middle-age,Mesero,Femmine,1029,2011
Middle-age,Mesero,Maschi,1071,2011
Middle-age,Milano,Femmine,326811,2011
Middle-age,Milano,Maschi,302588,2011
Middle-age,Morimondo,Femmine,312,2011
Middle-age,Morimondo,Maschi,335,2011
Middle-age,Motta Visconti,Femmine,1987,2011
Middle-age,Motta Visconti,Maschi,2063,2011
Middle-age,Nerviano,Femmine,4466,2011
Middle-age,Nerviano,Maschi,4374,2011
Middle-age,Nosate,Femmine,183,2011
Middle-age,Nosate,Maschi,179,2011
Middle-age,Novate Milanese,Femmine,5254,2011
Middle-age,Novate Milanese,Maschi,4948,2011
Middle-age,Noviglio,Femmine,1208,2011
Middle-age,Noviglio,Maschi,1245,2011
Middle-age,Opera,Femmine,3692,2011
Middle-age,Opera,Maschi,3490,2011
Middle-age,Ossona,Femmine,1035,2011
Middle-age,Ossona,Maschi,1085,2011
Middle-age,Ozzero,Femmine,390,2011
Middle-age,Ozzero,Maschi,382,2011
Middle-age,Paderno Dugnano,Femmine,12271,2011
Middle-age,Paderno Dugnano,Maschi,12019,2011
Middle-age,Pantigliate,Femmine,1567,2011
Middle-age,Pantigliate,Maschi,1552,2011
Middle-age,Parabiago,Femmine,6915,2011
Middle-age,Parabiago,Maschi,7031,2011
Middle-age,Paullo,Femmine,2865,2011
Middle-age,Paullo,Maschi,2815,2011
Middle-age,Pero,Femmine,2777,2011
Middle-age,Pero,Maschi,2726,2011
Middle-age,Peschiera Borromeo,Femmine,6262,2011
Middle-age,Peschiera Borromeo,Maschi,5963,2011
Middle-age,Pessano con Bornago,Femmine,2441,2011
Middle-age,Pessano con Bornago,Maschi,2389,2011
Middle-age,Pieve Emanuele,Femmine,4172,2011
Middle-age,Pieve Emanuele,Maschi,3914,2011
Middle-age,Pioltello,Femmine,8939,2011
Middle-age,Pioltello,Maschi,9207,2011
Middle-age,Pogliano Milanese,Femmine,2129,2011
Middle-age,Pogliano Milanese,Maschi,2130,2011
Middle-age,Pozzo d'Adda,Femmine,1460,2011
Middle-age,Pozzo d'Adda,Maschi,1625,2011
Middle-age,Pozzuolo Martesana,Femmine,2112,2011
Middle-age,Pozzuolo Martesana,Maschi,2120,2011
Middle-age,Pregnana Milanese,Femmine,1814,2011
Middle-age,Pregnana Milanese,Maschi,1869,2011
Middle-age,Rescaldina,Femmine,3576,2011
Middle-age,Rescaldina,Maschi,3674,2011
Middle-age,Rho,Femmine,13017,2011
Middle-age,Rho,Maschi,12634,2011
Middle-age,Robecchetto con Induno,Femmine,1275,2011
Middle-age,Robecchetto con Induno,Maschi,1291,2011
Middle-age,Robecco sul Naviglio,Femmine,1798,2011
Middle-age,Robecco sul Naviglio,Maschi,1913,2011
Middle-age,Rodano,Femmine,1226,2011
Middle-age,Rodano,Maschi,1177,2011
Middle-age,Rosate,Femmine,1417,2011
Middle-age,Rosate,Maschi,1447,2011
Middle-age,Rozzano,Femmine,10433,2011
Middle-age,Rozzano,Maschi,9972,2011
Middle-age,San Colombano al Lambro,Femmine,1839,2011
Middle-age,San Colombano al Lambro,Maschi,1871,2011
Middle-age,San Donato Milanese,Femmine,7994,2011
Middle-age,San Donato Milanese,Maschi,7475,2011
Middle-age,San Giorgio su Legnano,Femmine,1719,2011
Middle-age,San Giorgio su Legnano,Maschi,1741,2011
Middle-age,San Giuliano Milanese,Femmine,9396,2011
Middle-age,San Giuliano Milanese,Maschi,9347,2011
Middle-age,San Vittore Olona,Femmine,2135,2011
Middle-age,San Vittore Olona,Maschi,2147,2011
Middle-age,San Zenone al Lambro,Femmine,1173,2011
Middle-age,San Zenone al Lambro,Maschi,1181,2011
Middle-age,Santo Stefano Ticino,Femmine,1261,2011
Middle-age,Santo Stefano Ticino,Maschi,1298,2011
Middle-age,Sedriano,Femmine,2912,2011
Middle-age,Sedriano,Maschi,2974,2011
Middle-age,Segrate,Femmine,8890,2011
Middle-age,Segrate,Maschi,8117,2011
Middle-age,Senago,Femmine,5500,2011
Middle-age,Senago,Maschi,5388,2011
Middle-age,Sesto San Giovanni,Femmine,20010,2011
Middle-age,Sesto San Giovanni,Maschi,19025,2011
Middle-age,Settala,Femmine,2002,2011
Middle-age,Settala,Maschi,2004,2011
