Comune,Cardio_incidence,Year,Multiplicator,Label
Masate,0.2286367533581023,2016,1.0,0
Mediglia,0.235972775564409,2016,0.0,0
Melegnano,0.2613976611490876,2016,2.0,1
Melzo,0.2687479884132603,2016,3.0,1
Mesero,0.2426364075325929,2016,0.0,1
Morimondo,0.2368655387355298,2016,0.0,0
Motta Visconti,0.2508978963571062,2016,1.0,1
Nerviano,0.2723248092270053,2016,3.0,1
Nosate,0.2767203513909224,2016,4.0,1
Novate Milanese,0.2877061469265367,2016,5.0,1
Noviglio,0.2142049310110834,2016,3.0,0
Opera,0.2823981666297036,2016,4.0,1
Ossona,0.2543488481429243,2016,1.0,1
Ozzero,0.2696177062374245,2016,3.0,1
Paderno Dugnano,0.2625066214641381,2016,2.0,1
Pantigliate,0.2584573748308525,2016,2.0,1
Parabiago,0.2528983941816087,2016,1.0,1
Paullo,0.2552929807607836,2016,2.0,1
Pero,0.2611857853065734,2016,2.0,1
Peschiera Borromeo,0.23877786811588,2016,0.0,0
Pessano con Bornago,0.2314367311072056,2016,1.0,0
Pieve Emanuele,0.2389087200407955,2016,0.0,0
Pioltello,0.2288715931905063,2016,1.0,0
Pogliano Milanese,0.2616620697925411,2016,2.0,1
Pozzo d'Adda,0.2053219448094612,2016,3.0,0
Pozzuolo Martesana,0.2468059701492537,2016,1.0,1
Pregnana Milanese,0.2644224053638776,2016,2.0,1
Rescaldina,0.2776282232927174,2016,4.0,1
Rho,0.282273660705385,2016,4.0,1
Robecchetto con Induno,0.2669952762374204,2016,3.0,1
Robecco sul Naviglio,0.2500737680731779,2016,1.0,1
Rodano,0.2169974115616911,2016,2.0,0
Rosate,0.2517667844522968,2016,1.0,1
Rozzano,0.2566189987346909,2016,2.0,1
San Donato Milanese,0.263598717190273,2016,2.0,1
San Giorgio su Legnano,0.2616918340419293,2016,2.0,1
San Giuliano Milanese,0.2482878516489305,2016,1.0,1
San Vittore Olona,0.2508050089445438,2016,1.0,1
San Zenone al Lambro,0.217124687712923,2016,2.0,0
Santo Stefano Ticino,0.2333733974358974,2016,1.0,0
Sedriano,0.2370909699556448,2016,0.0,0
Segrate,0.2492721874729772,2016,1.0,1
Senago,0.2530492014544115,2016,1.0,1
Sesto San Giovanni,0.2707199330065762,2016,3.0,1
Settala,0.2317666126418152,2016,1.0,0
Settimo Milanese,0.2429461526771693,2016,0.0,1
Solaro,0.2425126271608451,2016,0.0,1
Trezzano Rosa,0.2042820663916715,2016,4.0,0
Trezzano sul Naviglio,0.2485301204819277,2016,1.0,1
Trezzo sull'Adda,0.2716670861649467,2016,3.0,1
Tribiano,0.1978114478114478,2016,4.0,0
Truccazzano,0.2310536044362292,2016,1.0,0
Turbigo,0.2709881640517478,2016,3.0,1
Vanzaghello,0.2749026154702281,2016,3.0,1
Vanzago,0.2331408650179758,2016,1.0,0
Vaprio d'Adda,0.2122674017918676,2016,3.0,0
