Comune,Neuro_incidence,Year,Multiplicator,Label
Binasco,0.020971302428256,2016,1.0,1
Boffalora sopra Ticino,0.0158382066276803,2016,0.0,1
Bollate,0.0195511730703842,2016,0.0,1
Bresso,0.0197827329902801,2016,0.0,1
Bubbiano,0.0141843971631205,2016,0.0,0
Buccinasco,0.014792899408284,2016,0.0,0
Buscate,0.016424510423247,2016,0.0,1
Bussero,0.0162658301382595,2016,0.0,1
Busto Garolfo,0.0160767067983562,2016,0.0,1
Calvignasco,0.0167785234899328,2016,0.0,1
Cambiago,0.011811604901816,2016,0.0,0
Canegrate,0.0176470588235294,2016,0.0,1
Carpiano,0.0171610688894336,2016,0.0,1
Carugate,0.0125840601904254,2016,0.0,0
Casarile,0.015255905511811,2016,0.0,0
Casorezzo,0.0154855164875204,2016,0.0,1
Cassano d'Adda,0.0147311827956989,2016,0.0,0
Cassina de' Pecchi,0.0160604282780874,2016,0.0,1
Cassinetta di Lugagnano,0.017478813559322,2016,0.0,1
Castano Primo,0.0151070825557629,2016,0.0,0
Cernusco sul Naviglio,0.0171171985655305,2016,0.0,1
Cerro Maggiore,0.0153091265947006,2016,0.0,1
Cerro al Lambro,0.0135161995627111,2016,0.0,0
Cesano Boscone,0.0180845644421803,2016,0.0,1
Cesate,0.0171840746764726,2016,0.0,1
Cinisello Balsamo,0.0179859522810626,2016,0.0,1
Cisliano,0.0133305561341387,2016,0.0,0
Cologno Monzese,0.0193186627168853,2016,0.0,1
Colturano,0.0134939759036144,2016,0.0,0
Corbetta,0.0165897604921995,2016,0.0,1
Cormano,0.0164574478600375,2016,0.0,1
Cornaredo,0.0159733280254777,2016,0.0,1
Corsico,0.0202833226014166,2016,0.0,1
Cuggiono,0.0170322264428378,2016,0.0,1
Cusago,0.0102327961115374,2016,1.0,0
Cusano Milanino,0.0208942297282667,2016,1.0,1
Dairago,0.0153214342126046,2016,0.0,1
Dresano,0.0212975098296199,2016,1.0,1
Gaggiano,0.0159278235687235,2016,0.0,1
Garbagnate Milanese,0.0182616134191244,2016,0.0,1
Gessate,0.0130208333333333,2016,0.0,0
Gorgonzola,0.0157784011220196,2016,0.0,1
Grezzago,0.0125371164632134,2016,0.0,0
Gudo Visconti,0.0146520146520146,2016,0.0,0
Inveruno,0.0199440167949615,2016,0.0,1
Inzago,0.0162696629213483,2016,0.0,1
Lacchiarella,0.017220033764772,2016,0.0,1
Lainate,0.0155597573465689,2016,0.0,1
Legnano,0.0170429691443184,2016,0.0,1
Liscate,0.0095988186069406,2016,1.0,0
Locate di Triulzi,0.0151021616819662,2016,0.0,0
Magenta,0.0200229075637381,2016,0.0,1
Magnago,0.0134858129248031,2016,0.0,0
Marcallo con Casone,0.0154754307594128,2016,0.0,1
Masate,0.0105744498428122,2016,0.0,0
Mediglia,0.0190903054448871,2016,0.0,1
Melegnano,0.0227670753064798,2016,1.0,1
Melzo,0.0190430211350713,2016,0.0,1
Mesero,0.012071463061323,2016,0.0,0
Morimondo,0.0124666073018699,2016,0.0,0
Motta Visconti,0.01757311441765,2016,0.0,1
Nerviano,0.0164851167938486,2016,0.0,1
Nosate,0.0190336749633967,2016,0.0,1
Novate Milanese,0.0173413293353323,2016,0.0,1
Noviglio,0.0178692603483374,2016,0.0,1
Opera,0.0184815554077031,2016,0.0,1
Ossona,0.0188058298072402,2016,0.0,1
Ozzero,0.0154258886653252,2016,0.0,1
Paderno Dugnano,0.0152558533742981,2016,0.0,0
Pantigliate,0.0201285520974289,2016,0.0,1
Parabiago,0.0155181104630229,2016,0.0,1
Paullo,0.0216990248616357,2016,1.0,1
Pero,0.0190572638556435,2016,0.0,1
Peschiera Borromeo,0.0164320253327057,2016,0.0,1
Pessano con Bornago,0.0136203866432337,2016,0.0,0
Pieve Emanuele,0.0151070882202957,2016,0.0,0
Pioltello,0.0149335826847446,2016,0.0,0
Pogliano Milanese,0.013910540832234,2016,0.0,0
Pozzo d'Adda,0.0098554533508541,2016,1.0,0
Pozzuolo Martesana,0.0161194029850746,2016,0.0,1
Pregnana Milanese,0.0157843274200307,2016,0.0,1
Rescaldina,0.0150184188155284,2016,0.0,0
Rho,0.0174452220029108,2016,0.0,1
Robecchetto con Induno,0.0149928116656397,2016,0.0,0
Robecco sul Naviglio,0.0166715845382118,2016,0.0,1
Rodano,0.0148835202761,2016,0.0,0
Rosate,0.016077738515901,2016,0.0,1
Rozzano,0.0175710841072409,2016,0.0,1
San Donato Milanese,0.0195535074882461,2016,0.0,1
San Giorgio su Legnano,0.0172995161999706,2016,0.0,1
San Giuliano Milanese,0.0179643873142977,2016,0.0,1
San Vittore Olona,0.0190816935002981,2016,0.0,1
San Zenone al Lambro,0.0118101294571882,2016,0.0,0
Santo Stefano Ticino,0.0152243589743589,2016,0.0,0
Sedriano,0.0148966440706335,2016,0.0,0
Segrate,0.0170927852880984,2016,0.0,1
Senago,0.0150964238044829,2016,0.0,0
Sesto San Giovanni,0.0198024679195093,2016,0.0,1
Settala,0.0151269584008643,2016,0.0,0
Settimo Milanese,0.0159566384681627,2016,0.0,1
Solaro,0.0150103151454791,2016,0.0,0
Trezzano Rosa,0.012178353957965,2016,0.0,0
Trezzano sul Naviglio,0.016722891566265,2016,0.0,1
Trezzo sull'Adda,0.0147663394580082,2016,0.0,0
Tribiano,0.0115039281705948,2016,0.0,0
Truccazzano,0.0157956645941858,2016,0.0,1
Turbigo,0.0187173135150013,2016,0.0,1
Vanzaghello,0.0159525134483398,2016,0.0,1
Vanzago,0.0153611504521189,2016,0.0,1
Vaprio d'Adda,0.012634964392373,2016,0.0,0
